p,gap,res_mod6,next_res_mod6
8293,4,1,5
8297,14,5,1
8311,6,1,1
8317,12,1,1
8329,24,1,1
8353,10,1,5
8363,6,5,5
8369,8,5,1
8377,10,1,5
8387,2,5,1
8389,30,1,1
8419,4,1,5
8423,6,5,5
8429,2,5,1
8431,12,1,1
8443,4,1,5
8447,14,5,1
8461,6,1,1
8467,34,1,5
8501,12,5,5
8513,8,5,1
8521,6,1,1
8527,10,1,5
8537,2,5,1
8539,4,1,5
8543,20,5,1
8563,10,1,5
8573,8,5,1
8581,16,1,5
8597,2,5,1
8599,10,1,5
8609,14,5,1
8623,4,1,5
8627,2,5,1
8629,12,1,1
8641,6,1,1
8647,16,1,5
8663,6,5,5
8669,8,5,1
8677,4,1,5
8681,8,5,1
8689,4,1,5
8693,6,5,5
8699,8,5,1
8707,6,1,1
8713,6,1,1
8719,12,1,1
8731,6,1,1
8737,4,1,5
8741,6,5,5
8747,6,5,5
8753,8,5,1
8761,18,1,1
8779,4,1,5
8783,20,5,1
8803,4,1,5
8807,12,5,5
8819,2,5,1
8821,10,1,5
8831,6,5,5
8837,2,5,1
8839,10,1,5
8849,12,5,5
8861,2,5,1
8863,4,1,5
8867,20,5,1
8887,6,1,1
8893,30,1,1
8923,6,1,1
8929,4,1,5
8933,8,5,1
8941,10,1,5
8951,12,5,5
8963,6,5,5
8969,2,5,1
8971,28,1,5
8999,2,5,1
9001,6,1,1
9007,4,1,5
9011,2,5,1
9013,16,1,5
9029,12,5,5
9041,2,5,1
9043,6,1,1
9049,10,1,5
9059,8,5,1
9067,24,1,1
9091,12,1,1
9103,6,1,1
9109,18,1,1
9127,6,1,1
9133,4,1,5
9137,14,5,1
9151,6,1,1
9157,4,1,5
9161,12,5,5
9173,8,5,1
9181,6,1,1
9187,12,1,1
9199,4,1,5
9203,6,5,5
9209,12,5,5
9221,6,5,5
9227,12,5,5
9239,2,5,1
9241,16,1,5
9257,20,5,1
9277,4,1,5
9281,2,5,1
9283,10,1,5
9293,18,5,5
9311,8,5,1
9319,4,1,5
9323,14,5,1
9337,4,1,5
9341,2,5,1
9343,6,1,1
9349,22,1,5
9371,6,5,5
9377,14,5,1
9391,6,1,1
9397,6,1,1
9403,10,1,5
9413,6,5,5
9419,2,5,1
9421,10,1,5
9431,2,5,1
9433,4,1,5
9437,2,5,1
9439,22,1,5
9461,2,5,1
9463,4,1,5
9467,6,5,5
9473,6,5,5
9479,12,5,5
9491,6,5,5
9497,14,5,1
9511,10,1,5
9521,12,5,5
9533,6,5,5
9539,8,5,1
9547,4,1,5
9551,36,5,5
9587,14,5,1
9601,12,1,1
9613,6,1,1
9619,4,1,5
9623,6,5,5
9629,2,5,1
9631,12,1,1
9643,6,1,1
9649,12,1,1
9661,16,1,5
9677,2,5,1
9679,10,1,5
9689,8,5,1
9697,22,1,5
9719,2,5,1
9721,12,1,1
9733,6,1,1
9739,4,1,5
9743,6,5,5
9749,18,5,5
9767,2,5,1
9769,12,1,1
9781,6,1,1
9787,4,1,5
9791,12,5,5
9803,8,5,1
9811,6,1,1
9817,12,1,1
9829,4,1,5
9833,6,5,5
9839,12,5,5
9851,6,5,5
9857,2,5,1
9859,12,1,1
9871,12,1,1
9883,4,1,5
9887,14,5,1
9901,6,1,1
9907,16,1,5
9923,6,5,5
9929,2,5,1
9931,10,1,5
9941,8,5,1
9949,18,1,1
9967,6,1,1
9973,34,1,5
10007,2,5,1
10009,28,1,5
10037,2,5,1
10039,22,1,5
10061,6,5,5
10067,2,5,1
10069,10,1,5
10079,12,5,5
10091,2,5,1
10093,6,1,1
10099,4,1,5
10103,8,5,1
10111,22,1,5
10133,6,5,5
10139,2,5,1
10141,10,1,5
10151,8,5,1
10159,4,1,5
10163,6,5,5
10169,8,5,1
10177,4,1,5
10181,12,5,5
10193,18,5,5
10211,12,5,5
10223,20,5,1
10243,4,1,5
10247,6,5,5
10253,6,5,5
10259,8,5,1
10267,4,1,5
10271,2,5,1
10273,16,1,5
10289,12,5,5
10301,2,5,1
10303,10,1,5
10313,8,5,1
10321,10,1,5
10331,2,5,1
10333,4,1,5
10337,6,5,5
10343,14,5,1
10357,12,1,1
10369,22,1,5
10391,8,5,1
10399,28,1,5
10427,2,5,1
10429,4,1,5
10433,20,5,1
10453,4,1,5
10457,2,5,1
10459,4,1,5
10463,14,5,1
10477,10,1,5
10487,12,5,5
10499,2,5,1
10501,12,1,1
10513,16,1,5
10529,2,5,1
10531,28,1,5
10559,8,5,1
10567,22,1,5
10589,8,5,1
10597,4,1,5
10601,6,5,5
10607,6,5,5
10613,14,5,1
10627,4,1,5
10631,8,5,1
10639,12,1,1
10651,6,1,1
10657,6,1,1
10663,4,1,5
10667,20,5,1
10687,4,1,5
10691,18,5,5
10709,2,5,1
10711,12,1,1
10723,6,1,1
10729,4,1,5
10733,6,5,5
10739,14,5,1
10753,18,1,1
10771,10,1,5
10781,8,5,1
10789,10,1,5
10799,32,5,1
10831,6,1,1
10837,10,1,5
10847,6,5,5
10853,6,5,5
